game_id,white_player,white_rating,black_player,black_rating,opening,winner,move_count,link
vFnweJqm,pavaobjazevic,2286.0,Ali_Oezcelik,2006.0,A13: English Opening: Agincourt Defense,white,133,https://lichess.org/vFnweJqm
Jo94KKT6,Sonia111,1954.0,pavaobjazevic,2284.0,A05: Zukertort Opening: Nimzo-Larsen Variation,black,102,https://lichess.org/Jo94KKT6
SMfjdjMS,pavaobjazevic,2287.0,sandeepsmit11,2020.0,"D35: Queen's Gambit Declined: Exchange Variation, Positional Variation",black,66,https://lichess.org/SMfjdjMS
tE7AS6Yr,superhero_13,1898.0,pavaobjazevic,2286.0,"C54: Italian Game: Classical Variation, Greco Gambit, Traditional Line",black,28,https://lichess.org/tE7AS6Yr
mJVHivZ5,pavaobjazevic,2295.0,PinkSuccession,1898.0,A20: English Opening: King's English Variation,black,52,https://lichess.org/mJVHivZ5
7DK4SDgv,pavaobjazevic,2301.0,edxr64,2253.0,"E76: King's Indian Defense: Four Pawns Attack, Dynamic Attack",black,44,https://lichess.org/7DK4SDgv
cVzKSZPM,mcgregor2024,1932.0,pavaobjazevic,2299.0,C47: Four Knights Game: Scotch Variation Accepted,black,60,https://lichess.org/cVzKSZPM
wg9uI0XL,pavaobjazevic,2308.0,chessvideworld,2030.0,"A36: English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",black,96,https://lichess.org/wg9uI0XL
QgnjvqTh,cakeovic,2224.0,pavaobjazevic,2304.0,"C29: Vienna Game: Vienna Gambit, Wurzburger Trap",black,28,https://lichess.org/QgnjvqTh
yLVj27o4,Verter1936,1919.0,pavaobjazevic,2303.0,"C48: Four Knights Game: Spanish Variation, Rubinstein Variation",black,56,https://lichess.org/yLVj27o4
4DLjIdkc,yhojanSI,2087.0,pavaobjazevic,2300.0,A46: Yusupov-Rubinstein System,black,96,https://lichess.org/4DLjIdkc
20aMqedK,pavaobjazevic,2302.0,AlekhineisGOAT,2150.0,A13: English Opening: Agincourt Defense,draw,132,https://lichess.org/20aMqedK
ECtbA0Lu,Akim2014,2082.0,pavaobjazevic,2311.0,C34: King's Gambit Accepted: Schallopp Defense,white,59,https://lichess.org/ECtbA0Lu
IMCQOiJd,pavaobjazevic,2309.0,ZharibellNidol,1964.0,A20: English Opening: King's English Variation,white,55,https://lichess.org/IMCQOiJd
KAJSjr0N,pavaobjazevic,2308.0,Ljupcho,1970.0,A10: English Opening,white,53,https://lichess.org/KAJSjr0N
WLPVNHbA,pavaobjazevic,2306.0,asiyamohamed,1969.0,A20: English Opening: King's English Variation,white,61,https://lichess.org/WLPVNHbA
MbXPPk67,pavaobjazevic,2309.0,idiot221,2067.0,"D12: Slav Defense: Quiet Variation, Schallopp Defense",draw,101,https://lichess.org/MbXPPk67
VUms6wc7,Nitsyn,2026.0,pavaobjazevic,2307.0,"A22: English Opening: King's English Variation, Two Knights Variation, Smyslov System",black,70,https://lichess.org/VUms6wc7
vnBziid2,DevuelvoBerserk,2174.0,pavaobjazevic,2309.0,A05: King's Indian Attack,draw,49,https://lichess.org/vnBziid2
kxYML2iS,Kraaikii,2085.0,pavaobjazevic,2300.0,"C67: Ruy Lopez: Berlin Defense, Rio Gambit Accepted",black,126,https://lichess.org/kxYML2iS
ukQS13uL,pavaobjazevic,2298.0,Boro-i-Ramiz,1955.0,A40: Queen's Pawn Game: Anglo-Slav Opening,white,49,https://lichess.org/ukQS13uL
2uHCLoTz,pavaobjazevic,2296.0,jorgelaertesjordi,2013.0,A13: English Opening: Agincourt Defense,white,79,https://lichess.org/2uHCLoTz
U7346leW,eliecerf,1971.0,pavaobjazevic,2295.0,C20: King's Pawn Game: Leonardis Variation,black,38,https://lichess.org/U7346leW
OlOrkfKW,pavaobjazevic,2290.0,TitleMaster,2221.0,A20: English Opening: King's English Variation,white,39,https://lichess.org/OlOrkfKW
jZxYtt87,Elwe,2287.0,pavaobjazevic,2296.0,"A13: English Opening: Agincourt Defense, Catalan Defense Accepted",white,92,https://lichess.org/jZxYtt87
b0mc69Aw,ypsilonztwo,2100.0,pavaobjazevic,2293.0,"A45: Trompowsky Attack: Classical Defense, Big Center Variation",black,46,https://lichess.org/b0mc69Aw
VCOc7PDV,pavaobjazevic,2291.0,olegchessforest,2073.0,A20: English Opening: King's English Variation,white,69,https://lichess.org/VCOc7PDV
klP0Ix2k,MozwaneRealRideBRAND,1891.0,pavaobjazevic,2289.0,"C54: Italian Game: Classical Variation, Greco Gambit, Main Line",black,60,https://lichess.org/klP0Ix2k
9E8LLr2l,pavaobjazevic,2288.0,HelloLetMeCook,1933.0,"D35: Queen's Gambit Declined: Exchange Variation, Positional Variation",white,61,https://lichess.org/9E8LLr2l
9Bpl7mqw,pavaobjazevic,2294.0,pnl64,2176.0,"E81: King's Indian Defense: Sämisch Variation, Sämisch Gambit",black,72,https://lichess.org/9Bpl7mqw
wVN8sO2o,Paquiderme,1921.0,pavaobjazevic,2293.0,"C54: Italian Game: Classical Variation, Greco Gambit, Traditional Line",black,63,https://lichess.org/wVN8sO2o
n2rQGXF0,pavaobjazevic,2301.0,pnl64,1958.0,"E81: King's Indian Defense: Sämisch Variation, Sämisch Gambit",black,40,https://lichess.org/n2rQGXF0
hxyZFIFd,zooted_atomic,2138.0,pavaobjazevic,2298.0,"C29: Vienna Game: Vienna Gambit, Bardeleben Variation",black,72,https://lichess.org/hxyZFIFd
idXtJky9,pavaobjazevic,2306.0,Val-UListic,1969.0,A30: English Opening: Symmetrical Variation,black,54,https://lichess.org/idXtJky9
KLepxUeb,redheart98,2255.0,pavaobjazevic,2313.0,"A28: English Opening: King's English Variation, Four Knights Variation, Quiet Line",white,57,https://lichess.org/KLepxUeb
kFGW6c9H,pavaobjazevic,2311.0,rubenesky,2012.0,D11: Slav Defense: Quiet Variation,white,79,https://lichess.org/kFGW6c9H
uKWFm7zO,nomanzana,1969.0,pavaobjazevic,2315.0,E11: Bogo-Indian Defense: Retreat Variation,draw,85,https://lichess.org/uKWFm7zO
nUUAi083,pavaobjazevic,2310.0,exceljax,2251.0,A20: English Opening: King's English Variation,white,33,https://lichess.org/nUUAi083
ncALxU7w,ihabov9900,1983.0,pavaobjazevic,2309.0,"C56: Italian Game: Two Knights Defense, Perreux Variation",black,70,https://lichess.org/ncALxU7w
n0AA0ENp,Gordohip,2003.0,pavaobjazevic,2307.0,"C56: Italian Game: Scotch Gambit, Max Lange Attack",black,42,https://lichess.org/n0AA0ENp
mtpStxgJ,pavaobjazevic,2304.0,AlexanderSanti,2155.0,"D11: Slav Defense: Quiet Variation, Pin Defense",white,47,https://lichess.org/mtpStxgJ
PXHMwv0a,arielofek,2295.0,pavaobjazevic,2298.0,"A22: English Opening: King's English Variation, Two Knights Variation",black,126,https://lichess.org/PXHMwv0a
ocOQoHKw,pavaobjazevic,2296.0,HarryTopG,1973.0,D35: Queen's Gambit Declined: Exchange Variation,white,65,https://lichess.org/ocOQoHKw
SvrWTg6c,IG_Schach_Ruedlingen,2044.0,pavaobjazevic,2294.0,D01: Rapport-Jobava System,black,74,https://lichess.org/SvrWTg6c
BcdbbeC6,pavaobjazevic,2301.0,Benno65,2149.0,A20: English Opening: King's English Variation,black,106,https://lichess.org/BcdbbeC6
at4r41Qs,pavaobjazevic,2294.0,younameit,1950.0,A20: English Opening: King's English Variation,white,109,https://lichess.org/at4r41Qs
wHEKBxcB,Koenigbube,1906.0,pavaobjazevic,2293.0,D01: Rapport-Jobava System,black,66,https://lichess.org/wHEKBxcB
1PEy1IgF,pavaobjazevic,2301.0,chessgmer,2060.0,"A22: English Opening: King's English Variation, Two Knights Variation",black,50,https://lichess.org/1PEy1IgF
pb15mxrq,ALREMO,2025.0,pavaobjazevic,2299.0,C47: Four Knights Game: Italian Variation,black,122,https://lichess.org/pb15mxrq
OzehsWTS,pavaobjazevic,2308.0,Frengky_bky,1934.0,A10: English Opening: Anglo-Scandinavian Defense,black,62,https://lichess.org/OzehsWTS
ZZNNHDyL,CapoeiraPlaymobil,2104.0,pavaobjazevic,2317.0,"A15: English Opening: Anglo-Indian Defense, King's Knight Variation",white,17,https://lichess.org/ZZNNHDyL
ggy0HbMH,pavaobjazevic,2315.0,Grewia,2005.0,A10: English Opening: Anglo-Dutch Defense,white,107,https://lichess.org/ggy0HbMH
9CVHvorC,pallotta70,1978.0,pavaobjazevic,2314.0,"D37: Queen's Gambit Declined: Three Knights, Vienna Variation",black,24,https://lichess.org/9CVHvorC
YD2WfthH,Juan_chusca,2048.0,pavaobjazevic,2312.0,"C44: Scotch Game: Scotch Gambit, Advance Variation",black,24,https://lichess.org/YD2WfthH
xbUrdnhY,pavaobjazevic,2320.0,DavideKodokan,2149.0,A20: English Opening: King's English Variation,black,110,https://lichess.org/xbUrdnhY
PXa6QSF6,OneAndOnlyChessGod,2305.0,pavaobjazevic,2326.0,A45: Indian Defense,white,51,https://lichess.org/PXa6QSF6
cf4EJ2Kg,pavaobjazevic,2324.0,eeshnaik,1939.0,"D35: Queen's Gambit Declined: Exchange Variation, Positional Variation",white,72,https://lichess.org/cf4EJ2Kg
AIV9brz0,JhonAlvin,2103.0,pavaobjazevic,2322.0,"A22: English Opening: King's English Variation, Two Knights Variation, Smyslov System",black,70,https://lichess.org/AIV9brz0
nRgnGvDW,Fur3Id,2113.0,pavaobjazevic,2329.0,C51: Italian Game: Evans Gambit Declined,white,23,https://lichess.org/nRgnGvDW
7VZ1DbO4,pavaobjazevic,2328.0,VILLAVICENCIO9,2040.0,"A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation",white,145,https://lichess.org/7VZ1DbO4
VKV5dX2p,Pripravadela,2062.0,pavaobjazevic,2325.0,"A45: Trompowsky Attack: Classical Defense, Big Center Variation",black,32,https://lichess.org/VKV5dX2p
p8mfoQ7H,pavaobjazevic,2335.0,Mijaital,1984.0,E81: King's Indian Defense: Steiner Attack,black,30,https://lichess.org/p8mfoQ7H
utJV4AQY,JAGER_NAUT_EBOSHY,1940.0,pavaobjazevic,2334.0,C51: Italian Game: Evans Gambit Declined,black,60,https://lichess.org/utJV4AQY
UKmytOUS,pavaobjazevic,2332.0,samgunnn,2031.0,"D35: Queen's Gambit Declined: Exchange Variation, Positional Variation",white,47,https://lichess.org/UKmytOUS
NmZTUx4P,pavaobjazevic,2331.0,SuperSayan10,2010.0,"A28: English Opening: King's English Variation, Four Knights Variation, Quiet Line",white,51,https://lichess.org/NmZTUx4P
BqYAwEvb,Mijaital,2000.0,pavaobjazevic,2329.0,"C56: Italian Game: Scotch Gambit, Anderssen Attack",black,52,https://lichess.org/BqYAwEvb
chmpgTQ3,WLin2008,2133.0,pavaobjazevic,2338.0,E01: Catalan Opening: Closed,white,11,https://lichess.org/chmpgTQ3
C634N523,pavaobjazevic,2345.0,hesam_Hardworking,2245.0,"A22: English Opening: King's English Variation, Two Knights Variation",black,78,https://lichess.org/C634N523
TkXIcDRS,pavaobjazevic,2347.0,RookyMightyKnight,2201.0,A18: English Opening: Mikenas-Carls Variation,draw,49,https://lichess.org/TkXIcDRS
9Mhzn0r2,chesslove11111,2215.0,pavaobjazevic,2343.0,A05: King's Indian Attack,black,56,https://lichess.org/9Mhzn0r2
5aqKUXvH,jdd_ms10,2242.0,pavaobjazevic,2350.0,A45: Indian Defense,white,77,https://lichess.org/5aqKUXvH
lSdhPQyS,pavaobjazevic,2345.0,AnonymousChess2021,2299.0,"A36: English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",white,71,https://lichess.org/lSdhPQyS
7yHcsqI7,MaxwellsSilvrHammer,2238.0,pavaobjazevic,2352.0,"C67: Ruy Lopez: Open Berlin Defense, l'Hermet Variation",white,113,https://lichess.org/7yHcsqI7
065lu6Zj,giovany7,1995.0,pavaobjazevic,2351.0,C44: Ponziani Opening: Jaenisch Counterattack,black,113,https://lichess.org/065lu6Zj
6bAdqD47,pavaobjazevic,2360.0,KingAj13,2063.0,"A22: English Opening: King's English Variation, Two Knights Variation",black,62,https://lichess.org/6bAdqD47
ZMzcciSH,kistako12,2001.0,pavaobjazevic,2359.0,"C54: Italian Game: Classical Variation, Greco Gambit",black,46,https://lichess.org/ZMzcciSH
xFPffv2m,pavaobjazevic,2357.0,jamestgr,2012.0,A20: English Opening: King's English Variation,white,59,https://lichess.org/xFPffv2m
DCdaezun,ingridpacheco,1998.0,pavaobjazevic,2356.0,"C26: Bishop's Opening: Vienna Hybrid, Spielmann Attack",black,18,https://lichess.org/DCdaezun
Fj1YnEZm,srakhmanov,2115.0,pavaobjazevic,2353.0,C26: Vienna Game: Mieses Variation,black,82,https://lichess.org/Fj1YnEZm
9P4kMM1g,pavaobjazevic,2352.0,Kingmatias26,2037.0,A30: English Opening: Symmetrical Variation,white,35,https://lichess.org/9P4kMM1g
d1Np1li8,alexwassssilew,2048.0,pavaobjazevic,2350.0,A20: English Opening: King's English Variation,black,60,https://lichess.org/d1Np1li8
KbFTkkFF,Moh-Shehab,2227.0,pavaobjazevic,2357.0,A46: Yusupov-Rubinstein System,white,83,https://lichess.org/KbFTkkFF
Ytzio7wb,pavaobjazevic,2353.0,bssh,2217.0,E81: King's Indian Defense: Steiner Attack,white,47,https://lichess.org/Ytzio7wb
eoOvhGvL,ChessIntegral,2010.0,pavaobjazevic,2364.0,D01: Rapport-Jobava System,white,57,https://lichess.org/eoOvhGvL
gzpsGGuE,pavaobjazevic,2362.0,Expelliarmuswand,2009.0,A18: English Opening: Mikenas-Carls Variation,white,53,https://lichess.org/gzpsGGuE
sA7Ksobk,pavaobjazevic,2359.0,wladboskov,2162.0,D11: Slav Defense: Quiet Variation,white,33,https://lichess.org/sA7Ksobk
PZHOcA6M,pavaobjazevic,2358.0,courtenay3503,1979.0,A30: English Opening: Symmetrical Variation,white,3,https://lichess.org/PZHOcA6M
X70ekrfL,Mario-8880,2037.0,pavaobjazevic,2356.0,A01: Nimzo-Larsen Attack: Modern Variation,black,18,https://lichess.org/X70ekrfL
OLGokCnb,pavaobjazevic,2355.0,tk2159,1981.0,A13: English Opening: Agincourt Defense,white,15,https://lichess.org/OLGokCnb
rulscKAe,Angel696969,2019.0,pavaobjazevic,2353.0,A46: Indian Defense: Knights Variation,black,56,https://lichess.org/rulscKAe
c3zh7IR9,pavaobjazevic,2352.0,pawanwairagade,2019.0,"A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation",white,21,https://lichess.org/c3zh7IR9
uqPEXhVg,mrBean2014,2058.0,pavaobjazevic,2350.0,D01: Rapport-Jobava System,black,99,https://lichess.org/uqPEXhVg
IkAmmF8L,pavaobjazevic,2347.0,nepodcast,2115.0,A20: English Opening: King's English Variation,white,95,https://lichess.org/IkAmmF8L
Ne7FzJql,HerbertPaulo,1989.0,pavaobjazevic,2346.0,C20: King's Pawn Game: Napoleon Attack,black,32,https://lichess.org/Ne7FzJql
jFnX1elt,pavaobjazevic,2344.0,dogishot,2011.0,A30: English Opening: Symmetrical Variation,white,85,https://lichess.org/jFnX1elt
CeBgoSgc,haneean,2167.0,pavaobjazevic,2342.0,C20: King's Pawn Game: King's Head Opening,black,54,https://lichess.org/CeBgoSgc
YcMm370Y,pavaobjazevic,2345.0,Dangcar84,2026.0,A20: English Opening: King's English Variation,draw,89,https://lichess.org/YcMm370Y
dQM5eAgQ,pavaobjazevic,2343.0,MG_9696,2038.0,D11: Slav Defense: Quiet Variation,white,57,https://lichess.org/dQM5eAgQ
g1ldadN5,pavaobjazevic,2350.0,BetterCollSoul,2266.0,E81: King's Indian Defense: Steiner Attack,black,62,https://lichess.org/g1ldadN5
S88ZR16M,adithyap,1963.0,pavaobjazevic,2349.0,A46: Indian Defense: London System,black,56,https://lichess.org/S88ZR16M
Bp5TvJ2v,mr-a7aaaa17a7a,1500.0,ZB-ozenbekir,1500.0,"D02: Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",white,109,https://lichess.org/Bp5TvJ2v
CaKjmF40,MaTVeyCheNtSoV,2047.0,NeSuBaMu,2337.0,B40: Sicilian Defense: Pin Variation,black,38,https://lichess.org/CaKjmF40
IYQV6QcW,NeSuBaMu,2334.0,VOPAEV,1903.0,A40: Queen's Pawn Game,white,1,https://lichess.org/IYQV6QcW
QVu4Zlcn,NeSuBaMu,2334.0,Schachliebhaber26,800.0,D06: Queen's Gambit Declined: Marshall Defense,white,27,https://lichess.org/QVu4Zlcn
L4o4SP8T,esmailjalali,1136.0,NeSuBaMu,2334.0,D04: Queen's Pawn Game: Colle System,black,32,https://lichess.org/L4o4SP8T
LnHxpstr,NeSuBaMu,2325.0,Professor_90,2186.0,E40: Nimzo-Indian Defense: Normal Line,white,72,https://lichess.org/LnHxpstr
Y2Gq60HV,MrHeinzKetchup,1852.0,NeSuBaMu,2323.0,B40: Sicilian Defense: Four Knights Variation,black,42,https://lichess.org/Y2Gq60HV
3bfDK1dZ,NeSuBaMu,2317.0,Aruama,2059.0,"E97: King's Indian Defense: Orthodox Variation, Bayonet Attack",white,45,https://lichess.org/3bfDK1dZ
vLTb3JJo,KaterStiefel,2147.0,NeSuBaMu,2339.0,B40: Sicilian Defense: Pin Variation,white,39,https://lichess.org/vLTb3JJo
n81MGPS5,Johnny_The_Dog,2206.0,NeSuBaMu,2343.0,D80: Grünfeld Defense,draw,54,https://lichess.org/n81MGPS5
vjsFaeNk,NeSuBaMu,2340.0,Socionik,1944.0,A57: Benko Gambit,white,41,https://lichess.org/vjsFaeNk
aOS1Da75,NeSuBaMu,2326.0,rayg_01,2307.0,"D20: Queen's Gambit Accepted: Central Variation, McDonnell Defense",white,51,https://lichess.org/aOS1Da75
Q0IAFDIW,NeSuBaMu,2322.0,MWMichael,2008.0,"E98: King's Indian Defense: Orthodox Variation, Classical System",white,45,https://lichess.org/Q0IAFDIW
JXhLMyFw,marcele,1701.0,NeSuBaMu,2321.0,A45: Indian Defense,black,90,https://lichess.org/JXhLMyFw
IVaTmi1R,nevias,2111.0,NeSuBaMu,2313.0,B40: Sicilian Defense: French Variation,black,58,https://lichess.org/IVaTmi1R
MLRCyr48,Timaks,1840.0,NeSuBaMu,2343.0,B40: Sicilian Defense: French Variation,white,117,https://lichess.org/MLRCyr48
4Ppqj4MU,NeSuBaMu,2343.0,VA-DIM_1445,1542.0,D20: Queen's Gambit Accepted: Saduleto Variation,white,38,https://lichess.org/4Ppqj4MU
dlNk8Icv,NeSuBaMu,2340.0,Salem1970,1677.0,D31: Semi-Slav Defense: Marshall Gambit,white,83,https://lichess.org/dlNk8Icv
5F0bMBTP,negnuj,2310.0,NeSuBaMu,2342.0,"D85: Grünfeld Defense: Exchange Variation, Modern Exchange Variation",draw,49,https://lichess.org/5F0bMBTP
yC4Yfq8v,NeSuBaMu,2339.0,Gopa_ot_mikroba123,1917.0,"D88: Grünfeld Defense: Exchange Variation, Spassky Variation",white,93,https://lichess.org/yC4Yfq8v
Lz37lZqb,NeSuBaMu,2331.0,Tal-1959,2151.0,D53: Queen's Gambit Declined,white,77,https://lichess.org/Lz37lZqb
XQTFXfV4,NeSuBaMu,2327.0,harmelessfrog,1964.0,"A43: Benoni Defense: Old Benoni, Mujannah Formation",white,108,https://lichess.org/XQTFXfV4
HxaiERfh,NeSuBaMu,2355.0,SKHietzing,1971.0,A65: Benoni Defense: King's Pawn Line,black,120,https://lichess.org/HxaiERfh
6pQ6skXp,NeSuBaMu,2355.0,JuliaElena2013,1381.0,E40: Nimzo-Indian Defense: Normal Line,white,23,https://lichess.org/6pQ6skXp
sTKBtL4G,ridaykdhruv,1386.0,NeSuBaMu,2355.0,D02: Queen's Pawn Game: Symmetrical Variation,black,52,https://lichess.org/sTKBtL4G
DhpAM0dW,NeSuBaMu,2353.0,Dilshodbek68,1863.0,A40: Queen's Pawn Game: Modern Defense,white,65,https://lichess.org/DhpAM0dW
IwIYJsQv,lallave369,1604.0,NeSuBaMu,2353.0,B40: Sicilian Defense: French Variation,black,88,https://lichess.org/IwIYJsQv
LIGMOFoM,NeSuBaMu,2349.0,Pirat65,1970.0,"D86: Grünfeld Defense: Exchange Variation, Classical Variation",white,65,https://lichess.org/LIGMOFoM
WIlDumxD,jiffykennedy55,1312.0,NeSuBaMu,2349.0,B40: Sicilian Defense: Four Knights Variation,black,44,https://lichess.org/WIlDumxD
k0rB2mcH,SteelBoy,2468.0,NeSuBaMu,2345.0,B23: Sicilian Defense: Closed,draw,83,https://lichess.org/k0rB2mcH
7YrCiT6P,cheliv,2269.0,NeSuBaMu,2333.0,C20: King's Pawn Game: Leonardis Variation,black,42,https://lichess.org/7YrCiT6P
Ng0RDhtN,NeSuBaMu,2331.0,LikeRecords,1886.0,A57: Benko Gambit: Zaitsev System,white,55,https://lichess.org/Ng0RDhtN
XDqeNsLs,AllGoodNamesRTaken09,2283.0,NeSuBaMu,2333.0,"B40: Sicilian Defense: French Variation, Normal",draw,40,https://lichess.org/XDqeNsLs
iOXwP9rp,NeSuBaMu,2344.0,Aalok1704,1960.0,"E83: King's Indian Defense: Sämisch Variation, Yates Defense",draw,69,https://lichess.org/iOXwP9rp
YaCIua0p,Lisov_Stepan,1979.0,NeSuBaMu,2341.0,B20: Sicilian Defense: Mengarini Variation,black,66,https://lichess.org/YaCIua0p
4vkE3pdi,NeSuBaMu,2340.0,KirillBogdan,1424.0,D20: Queen's Gambit Accepted,white,83,https://lichess.org/4vkE3pdi
IJPKieWv,NeSuBaMu,2338.0,Haker-30-09-2009,1858.0,E61: King's Indian Defense,white,127,https://lichess.org/IJPKieWv
XHd2M2vc,juuwyyy,1711.0,NeSuBaMu,2337.0,B40: Sicilian Defense: French Variation,black,51,https://lichess.org/XHd2M2vc
FjZWEyeY,NeSuBaMu,2337.0,retroLluis,1654.0,"D35: Queen's Gambit Declined: Exchange Variation, Positional Variation",white,39,https://lichess.org/FjZWEyeY
5jJTbtDz,Mohamed10salk,1606.0,NeSuBaMu,2336.0,"B20: Sicilian Defense: Myers Attack, with h4",black,26,https://lichess.org/5jJTbtDz
p5PdNrHc,NeSuBaMu,2335.0,Achalume,1726.0,E70: King's Indian Defense: Normal Variation,white,101,https://lichess.org/p5PdNrHc
HKuEBB4m,NeSuBaMu,2334.0,KusoYaroJiji,1640.0,"E81: King's Indian Defense: Sämisch Variation, Normal Defense",white,49,https://lichess.org/HKuEBB4m
s6EDpE3I,NeSuBaMu,2348.0,skw60,1837.0,D35: Queen's Gambit Declined: Normal Defense,draw,122,https://lichess.org/s6EDpE3I
naHCarVD,sebatiand_12,1480.0,NeSuBaMu,2348.0,B41: Sicilian Defense: Kan Variation,black,74,https://lichess.org/naHCarVD
DikQRcBu,Kackilacki,2000.0,NeSuBaMu,2344.0,D85: Grünfeld Defense: Exchange Variation,black,65,https://lichess.org/DikQRcBu
oWn7YhbT,NeSuBaMu,2342.0,Mihail2020,1875.0,D35: Queen's Gambit Declined: Normal Defense,white,51,https://lichess.org/oWn7YhbT
4sBScxOh,teaman789,1866.0,NeSuBaMu,2340.0,E60: Indian Defense: West Indian Defense,black,96,https://lichess.org/4sBScxOh
SBbHXYDI,NeSuBaMu,2339.0,Zerrinn,1515.0,E70: King's Indian Defense: Normal Variation,white,51,https://lichess.org/SBbHXYDI
gHBomZHK,TroyGriff,1602.0,NeSuBaMu,2339.0,A02: Bird Opening,black,39,https://lichess.org/gHBomZHK
